time_spent,app_switches,hour_of_day,day_of_week,violations,session_gap,previous_usage,focus_sessions,addiction_score,relapse_risk,label,interaction_intensity,discipline_score,usage_pressure,night_flag
74,7,9,3,0,55,90,1,3.62,0,focused,518,10,1.6071428571428572,0
390,16,3,3,4,6,150,0,18.9,0,addicted,6240,-20,21.428571428571427,1
66,1,13,6,1,48,82,5,3.18,0,focused,66,45,1.6734693877551021,0
12,1,15,6,0,31,56,5,0.5599999999999999,0,distracted,12,50,1.75,0
76,2,14,5,0,55,41,4,2.68,0,focused,152,40,0.7321428571428571,0
145,5,7,3,3,18,107,0,8.35,0,addicted,725,-15,5.631578947368421,0
13,3,13,2,0,38,15,1,0.99,0,focused,39,10,0.38461538461538464,0
312,14,22,4,4,6,381,0,16.16,0,addicted,4368,-20,54.42857142857143,1
176,14,7,3,3,15,138,3,11.08,0,distracted,2464,15,8.625,0
31,7,20,1,3,11,168,2,5.33,1,addicted,217,5,14.0,0
60,2,15,5,1,35,81,4,3.2,0,focused,120,35,2.25,0
62,3,12,1,0,46,21,1,2.46,0,distracted,186,10,0.44680851063829785,0
37,6,17,0,0,52,71,2,2.31,0,focused,222,20,1.3396226415094339,0
78,3,14,6,1,49,56,4,3.94,0,distracted,234,35,1.12,0
164,17,20,4,2,18,196,3,10.319999999999999,0,addicted,2788,20,10.31578947368421,0
148,33,23,3,3,9,206,1,14.040000000000001,0,distracted,4884,-5,20.6,1
26,2,12,1,1,24,37,1,2.18,0,focused,52,5,1.48,0
198,19,8,4,2,21,120,2,11.74,0,distracted,3762,10,5.454545454545454,0
44,2,14,0,1,43,83,2,2.7199999999999998,0,focused,88,15,1.8863636363636365,0
38,7,12,6,1,39,100,1,3.54,0,focused,266,5,2.5,0
203,12,0,2,4,2,307,0,12.49,1,distracted,2436,-20,102.33333333333333,1
56,12,6,5,0,5,145,3,4.08,0,distracted,672,30,24.166666666666668,0
88,4,8,4,0,8,114,2,3.44,0,focused,352,20,12.666666666666666,0
198,31,23,4,4,5,272,1,16.14,0,addicted,6138,-10,45.333333333333336,1
144,22,0,2,5,1,262,0,13.719999999999999,0,addicted,3168,-25,131.0,1
45,3,11,4,0,29,45,1,1.95,0,distracted,135,10,1.5,0
61,8,7,0,3,10,194,1,6.43,0,focused,488,-5,17.636363636363637,0
363,30,23,0,4,9,305,0,20.889999999999997,0,distracted,10890,-20,30.5,1
36,2,10,2,0,47,26,3,1.48,0,focused,72,30,0.5416666666666666,0
197,9,18,5,0,25,160,3,7.709999999999999,0,addicted,1773,30,6.153846153846154,0
78,3,16,3,1,53,49,3,3.94,0,focused,234,25,0.9074074074074074,0
87,3,7,1,2,20,131,1,5.209999999999999,0,addicted,261,0,6.238095238095238,0
157,28,2,3,5,8,323,0,15.309999999999999,0,addicted,4396,-25,35.888888888888886,1
210,23,2,4,5,3,387,1,15.9,0,addicted,4830,-15,96.75,1
226,34,0,1,4,1,337,1,17.580000000000002,1,addicted,7684,-10,168.5,1
175,30,4,2,3,6,399,1,14.25,0,addicted,5250,-5,57.0,1
46,7,9,2,1,37,107,3,3.78,0,focused,322,25,2.8157894736842106,0
164,13,6,5,1,28,117,3,8.52,0,focused,2132,25,4.0344827586206895,0
195,3,8,1,1,10,134,3,7.45,0,distracted,585,25,12.181818181818182,0
121,9,6,0,2,17,96,3,7.43,0,distracted,1089,20,5.333333333333333,0
158,6,8,1,3,28,72,0,8.940000000000001,0,focused,948,-15,2.4827586206896552,0
81,15,7,4,2,18,81,2,7.43,0,addicted,1215,10,4.2631578947368425,0
58,2,11,0,1,58,89,1,3.1399999999999997,1,focused,116,5,1.5084745762711864,0
125,28,1,6,2,3,188,1,11.35,0,addicted,3500,0,47.0,1
206,26,0,6,5,7,357,0,16.380000000000003,0,addicted,5356,-25,44.625,1
38,7,15,6,0,42,22,4,2.54,0,focused,266,40,0.5116279069767442,0
366,17,22,2,2,2,378,1,16.380000000000003,0,addicted,6222,0,126.0,1
365,10,22,1,3,1,275,0,15.95,1,addicted,3650,-15,137.5,1
241,19,23,6,4,3,313,1,15.030000000000001,0,addicted,4579,-10,78.25,1
325,16,4,3,4,6,276,0,16.95,0,addicted,5200,-20,39.42857142857143,1
271,17,2,5,4,9,324,0,15.530000000000001,0,addicted,4607,-20,32.4,1
49,7,11,3,1,20,38,2,3.87,0,focused,343,15,1.8095238095238095,0
158,4,7,6,0,20,97,0,5.54,1,distracted,632,0,4.619047619047619,0
68,19,21,5,2,17,118,1,7.840000000000001,0,addicted,1292,0,6.555555555555555,0
222,30,2,4,2,1,211,0,14.66,0,addicted,6660,-10,105.5,1
326,30,0,3,4,9,203,1,19.78,0,addicted,9780,-10,20.3,1
212,34,2,1,3,9,392,1,16.16,0,addicted,7208,-5,39.2,1
325,28,4,1,4,2,318,0,19.35,0,addicted,9100,-20,106.0,1
55,6,14,3,0,59,27,3,2.85,0,focused,330,30,0.45,0
17,6,13,6,1,31,66,4,2.71,0,distracted,102,35,2.0625,0
168,22,2,1,3,2,226,0,12.440000000000001,0,addicted,3696,-15,75.33333333333333,1
340,19,0,4,2,3,232,0,16.0,0,addicted,6460,-10,58.0,1
178,32,4,0,3,4,209,1,14.74,0,distracted,5696,-5,41.8,1
215,20,22,6,3,1,286,1,13.45,0,addicted,4300,-5,143.0,1
57,1,13,4,1,27,82,2,2.9099999999999997,0,focused,57,15,2.9285714285714284,0
91,9,6,5,3,24,148,0,7.529999999999999,0,focused,819,-15,5.92,0
88,9,8,4,3,13,176,3,7.44,0,focused,792,15,12.571428571428571,0
25,7,14,6,0,22,30,2,2.15,0,distracted,175,20,1.3043478260869565,0
71,2,14,5,1,32,20,3,3.53,0,focused,142,25,0.6060606060606061,0
11,6,9,6,1,31,19,4,2.5300000000000002,0,focused,66,35,0.59375,0
11,2,12,1,1,45,32,2,1.73,0,distracted,22,15,0.6956521739130435,0
91,8,18,0,0,19,110,0,4.33,0,distracted,728,0,5.5,0
178,16,6,6,0,8,184,1,8.540000000000001,0,focused,2848,10,20.444444444444443,0
13,7,16,6,0,25,97,4,1.7899999999999998,0,distracted,91,40,3.730769230769231,0
190,10,19,1,0,9,112,1,7.7,1,focused,1900,10,11.2,0
282,24,3,2,2,8,195,1,15.26,0,addicted,6768,0,21.666666666666668,1
306,33,4,1,5,7,253,0,20.78,0,addicted,10098,-25,31.625,1
301,15,22,5,5,4,289,0,17.03,0,addicted,4515,-25,57.8,1
90,12,6,1,2,17,140,2,7.1,0,distracted,1080,10,7.777777777777778,0
22,1,12,1,0,30,68,5,0.86,0,distracted,22,50,2.193548387096774,0
57,5,14,0,0,41,47,2,2.71,0,focused,285,20,1.119047619047619,0
64,7,10,1,1,54,12,5,4.32,0,distracted,448,45,0.21818181818181817,0
144,13,3,6,2,3,320,1,8.919999999999998,0,addicted,1872,0,80.0,1
29,3,12,0,0,43,20,2,1.47,0,focused,87,20,0.45454545454545453,0
88,7,6,3,2,25,61,1,6.04,0,distracted,616,0,2.3461538461538463,0
195,16,18,2,2,15,195,2,11.05,0,distracted,3120,10,12.1875,0
104,14,21,0,0,27,108,2,5.92,0,addicted,1456,20,3.857142857142857,0
183,16,1,5,5,1,292,1,13.690000000000001,0,addicted,2928,-15,146.0,1
56,1,9,3,0,33,59,4,1.8800000000000001,0,focused,56,40,1.7352941176470589,0
68,3,12,0,0,31,49,4,2.6399999999999997,0,distracted,204,40,1.53125,0
119,15,20,0,0,6,86,0,6.5699999999999985,1,focused,1785,0,12.285714285714286,0
55,13,5,2,3,16,92,1,7.25,0,distracted,715,-5,5.411764705882353,0
39,1,11,6,1,39,64,3,2.37,1,focused,39,25,1.6,0
65,3,11,5,0,42,97,1,2.55,0,distracted,195,10,2.255813953488372,0
148,10,19,4,2,25,159,3,8.440000000000001,0,focused,1480,20,6.115384615384615,0
21,1,10,4,0,49,38,3,0.8300000000000001,0,focused,21,30,0.76,0
190,21,22,0,3,2,169,1,12.9,0,distracted,3990,-5,56.333333333333336,1
81,17,6,1,0,24,180,0,5.83,1,addicted,1377,0,7.2,0
355,33,0,5,4,8,288,1,21.25,0,addicted,11715,-10,32.0,1
175,19,0,3,4,1,313,0,13.05,1,addicted,3325,-20,156.5,1
55,6,19,1,2,22,176,3,4.85,0,focused,330,20,7.6521739130434785,0
11,7,12,1,0,30,101,5,1.73,0,focused,77,50,3.2580645161290325,0
157,16,8,5,3,7,161,3,10.91,0,distracted,2512,15,20.125,0
366,19,2,6,2,7,255,0,16.78,0,addicted,6954,-10,31.875,1
170,18,6,0,1,23,194,2,9.7,0,focused,3060,15,8.083333333333334,0
196,15,5,0,0,13,89,3,8.879999999999999,0,focused,2940,30,6.357142857142857,0
106,18,7,0,0,16,87,2,6.779999999999999,0,distracted,1908,20,5.117647058823529,0
77,18,8,0,2,11,138,3,7.909999999999999,0,focused,1386,20,11.5,0
348,15,4,4,4,9,337,1,17.439999999999998,0,addicted,5220,-10,33.7,1
158,17,0,0,2,6,340,1,10.14,0,addicted,2686,0,48.57142857142857,1
185,5,18,4,0,26,199,3,6.55,1,addicted,925,30,7.37037037037037,0
71,1,9,4,1,33,41,3,3.3299999999999996,1,distracted,71,25,1.2058823529411764,0
58,3,11,6,0,48,78,4,2.34,0,focused,174,40,1.5918367346938775,0
373,30,23,0,3,4,380,0,20.189999999999998,0,distracted,11190,-15,76.0,1
51,2,14,2,0,39,86,1,1.9299999999999997,0,focused,102,10,2.15,0
172,15,21,3,0,28,107,3,8.16,0,addicted,2580,30,3.689655172413793,0
293,17,23,1,5,7,378,0,17.189999999999998,0,addicted,4981,-25,47.25,1
148,4,8,4,1,22,194,1,6.24,0,addicted,592,5,8.434782608695652,0
123,15,19,5,2,25,143,0,8.690000000000001,0,focused,1845,-10,5.5,0
24,1,16,5,1,29,117,5,1.92,0,focused,24,45,3.9,0
42,1,16,3,1,28,63,1,2.46,0,distracted,42,5,2.1724137931034484,0
38,17,19,5,3,5,185,3,7.540000000000001,0,addicted,646,15,30.833333333333332,0
51,6,11,2,0,30,112,3,2.7299999999999995,0,focused,306,30,3.6129032258064515,0
114,10,6,5,2,28,183,1,7.419999999999999,0,focused,1140,0,6.310344827586207,0
311,28,1,1,3,8,382,0,17.93,0,distracted,8708,-15,42.44444444444444,1
268,28,2,1,3,8,232,0,16.639999999999997,0,distracted,7504,-15,25.77777777777778,1
28,6,16,4,1,21,47,5,3.04,0,distracted,168,45,2.1363636363636362,0
337,26,4,0,4,4,207,0,19.31,0,distracted,8762,-20,41.4,1
69,6,16,6,0,54,119,3,3.2700000000000005,0,distracted,414,30,2.1636363636363636,0
216,21,23,2,5,8,357,1,15.680000000000001,0,addicted,4536,-15,39.666666666666664,1
18,7,16,4,1,31,40,5,2.94,0,focused,126,45,1.25,0
33,6,16,2,1,28,35,4,3.19,0,distracted,198,35,1.206896551724138,0
271,14,1,0,4,1,164,0,14.930000000000001,0,distracted,3794,-20,82.0,1
294,11,1,5,4,2,233,1,15.02,0,addicted,3234,-10,77.66666666666667,1
141,3,21,5,1,29,115,1,5.83,0,addicted,423,5,3.8333333333333335,0
235,31,22,6,2,1,265,1,15.25,1,addicted,7285,0,132.5,1
144,30,4,0,5,9,271,0,15.319999999999999,0,addicted,4320,-25,27.1,1
210,27,0,4,2,3,363,1,13.7,1,addicted,5670,0,90.75,1
361,19,0,6,2,4,390,1,16.630000000000003,0,addicted,6859,0,78.0,1
34,15,18,0,0,27,86,3,4.0200000000000005,0,focused,510,30,3.0714285714285716,0
316,18,1,3,4,2,342,1,17.080000000000002,0,distracted,5688,-10,114.0,1
137,14,20,1,2,17,172,3,8.91,1,focused,1918,20,9.555555555555555,0
63,4,11,6,1,49,82,2,3.69,0,focused,252,15,1.64,0
60,14,5,6,0,27,71,3,4.6,0,addicted,840,30,2.5357142857142856,0
368,19,22,4,3,5,228,0,17.839999999999996,1,distracted,6992,-15,38.0,1
327,17,3,2,3,1,166,1,16.21,0,distracted,5559,-5,83.0,1
197,22,22,3,3,3,259,1,13.309999999999999,0,addicted,4334,-5,64.75,1
63,5,10,4,0,32,40,5,2.8899999999999997,0,focused,315,50,1.2121212121212122,0
316,31,23,0,3,1,300,0,18.68,1,addicted,9796,-15,150.0,1
29,6,16,0,1,37,13,1,3.07,0,distracted,174,5,0.34210526315789475,0
164,14,5,0,2,19,68,2,9.719999999999999,0,addicted,2296,10,3.4,0
219,12,23,0,5,8,301,0,13.969999999999999,1,addicted,2628,-25,33.44444444444444,1
169,10,4,2,4,4,290,1,11.069999999999999,0,addicted,1690,-10,58.0,1
141,17,19,3,2,8,89,2,9.629999999999999,1,focused,2397,10,9.88888888888889,0
356,11,1,5,4,3,395,1,16.880000000000003,0,addicted,3916,-10,98.75,1
74,4,5,1,3,11,157,2,6.0200000000000005,0,focused,296,5,13.083333333333334,0
59,12,21,2,1,22,163,0,5.17,0,addicted,708,-5,7.086956521739131,0
52,6,10,2,0,42,78,2,2.7600000000000002,0,focused,312,20,1.813953488372093,0
32,6,15,5,1,37,24,2,3.16,0,focused,192,15,0.631578947368421,0
15,3,15,5,0,22,115,3,1.05,0,focused,45,30,5.0,0
333,33,0,1,3,3,171,0,19.589999999999996,0,addicted,10989,-15,42.75,1
40,15,8,1,2,14,52,0,6.2,0,distracted,600,-10,3.466666666666667,0
47,19,5,5,2,13,122,2,7.209999999999999,1,focused,893,10,8.714285714285714,0
78,7,15,0,1,42,39,1,4.74,0,focused,546,5,0.9069767441860465,0
144,19,2,2,3,9,387,1,11.12,0,addicted,2736,-5,38.7,1
54,16,19,4,2,24,97,1,6.82,0,focused,864,0,3.88,0
204,30,3,1,3,7,396,0,15.12,1,distracted,6120,-15,49.5,1
105,12,18,1,1,26,124,3,6.55,0,distracted,1260,25,4.592592592592593,0
306,25,2,5,3,9,257,0,17.18,0,addicted,7650,-15,25.7,1
105,15,18,3,3,11,179,1,9.15,0,focused,1575,-5,14.916666666666666,0
101,9,19,4,2,19,168,1,6.83,0,focused,909,0,8.4,0
170,13,6,4,0,21,169,3,7.7,1,addicted,2210,30,7.681818181818182,0
65,17,19,1,3,9,193,1,8.35,0,addicted,1105,-5,19.3,0
153,7,8,0,0,7,192,3,5.99,0,distracted,1071,30,24.0,0
225,30,0,3,5,5,176,0,17.75,0,distracted,6750,-25,29.333333333333332,1
99,6,7,4,1,26,65,1,5.17,0,focused,594,5,2.4074074074074074,0
74,4,6,1,0,15,111,1,3.02,1,focused,296,10,6.9375,0
61,7,17,4,1,28,112,3,4.2299999999999995,0,focused,427,25,3.8620689655172415,0
108,11,7,6,3,8,99,1,8.440000000000001,0,focused,1188,-5,11.0,0
194,14,0,3,3,4,370,1,11.62,1,distracted,2716,-5,74.0,1
16,4,10,3,0,49,40,3,1.28,1,focused,64,30,0.8,0
62,2,17,6,0,29,11,2,2.26,0,focused,124,20,0.36666666666666664,0
263,25,22,2,3,7,394,0,15.889999999999997,0,addicted,6575,-15,49.25,1
13,7,9,6,1,31,104,1,2.79,1,distracted,91,5,3.25,0
166,30,2,5,3,7,279,1,13.98,0,addicted,4980,-5,34.875,1
183,13,6,5,3,22,124,0,11.09,0,focused,2379,-15,5.391304347826087,0
36,1,15,1,1,21,58,2,2.28,0,focused,36,15,2.6363636363636362,0
47,4,15,3,0,51,19,4,2.21,0,distracted,188,40,0.36538461538461536,0
134,12,19,2,2,9,71,0,8.419999999999998,0,addicted,1608,-10,7.1,0
50,2,16,2,1,45,98,2,2.9,0,focused,100,15,2.130434782608696,0
320,19,1,4,5,9,375,1,18.4,0,distracted,6080,-15,37.5,1
243,13,0,4,5,6,304,1,14.889999999999997,1,addicted,3159,-15,43.42857142857143,1
38,7,15,6,1,56,37,4,3.54,0,focused,266,35,0.6491228070175439,0
19,6,11,2,1,56,27,2,2.77,0,distracted,114,15,0.47368421052631576,0
155,22,4,6,5,6,355,0,14.05,1,addicted,3410,-25,50.714285714285715,1
336,10,4,6,2,4,297,1,14.080000000000002,0,addicted,3360,0,59.4,1
242,25,22,4,4,5,345,0,16.259999999999998,0,addicted,6050,-20,57.5,1
169,18,8,3,0,17,136,1,8.669999999999998,0,focused,3042,10,7.555555555555555,0
44,14,8,6,0,13,103,2,4.12,0,distracted,616,20,7.357142857142857,0
223,23,2,0,4,1,394,0,15.289999999999997,0,addicted,5129,-20,197.0,1
139,10,18,3,0,24,84,0,6.17,0,distracted,1390,0,3.36,0
34,7,15,2,1,21,54,5,3.4200000000000004,0,focused,238,45,2.4545454545454546,0
10,4,15,2,1,42,105,3,2.1,1,distracted,40,25,2.441860465116279,0
173,25,2,6,4,4,195,0,14.190000000000001,0,addicted,4325,-20,39.0,1
140,3,19,3,0,6,133,1,4.8,0,distracted,420,10,19.0,0
280,12,23,4,5,3,346,0,15.8,0,distracted,3360,-25,86.5,1
49,11,21,4,2,8,68,1,5.67,0,focused,539,0,7.555555555555555,0
307,34,23,5,3,4,260,0,19.009999999999998,0,addicted,10438,-15,52.0,1
319,19,0,2,3,3,175,0,16.369999999999997,0,addicted,6061,-15,43.75,1
139,33,23,1,4,7,328,1,14.77,0,addicted,4587,-10,41.0,1
40,12,19,5,2,15,87,1,5.6,0,distracted,480,0,5.4375,0
55,4,10,4,1,47,74,3,3.45,0,distracted,220,25,1.5416666666666667,0
56,7,16,3,0,58,70,4,3.08,0,focused,392,40,1.1864406779661016,0
139,14,7,4,2,23,166,0,8.969999999999999,0,focused,1946,-10,6.916666666666667,0
388,34,3,3,2,6,203,0,20.439999999999998,0,addicted,13192,-10,29.0,1
78,9,5,5,1,15,141,1,5.14,0,distracted,702,5,8.8125,0
57,13,7,2,2,29,75,0,6.31,0,focused,741,-10,2.5,0
193,16,19,4,1,7,79,3,9.99,0,addicted,3088,25,9.875,0
212,22,2,6,4,8,366,0,14.76,0,distracted,4664,-20,40.666666666666664,1
62,6,15,3,1,57,73,1,4.06,0,distracted,372,5,1.2586206896551724,0
329,26,2,2,2,9,284,1,17.07,0,addicted,8554,0,28.4,1
61,1,17,1,0,53,13,1,2.0300000000000002,0,focused,61,10,0.24074074074074073,0
13,1,13,3,0,49,59,1,0.5900000000000001,0,focused,13,10,1.18,0
33,3,17,5,1,46,41,1,2.59,0,focused,99,5,0.8723404255319149,0
135,12,1,1,4,4,314,0,10.45,0,addicted,1620,-20,62.8,1
68,11,21,1,3,26,115,3,7.24,0,addicted,748,15,4.2592592592592595,0
209,30,2,0,4,7,150,0,16.27,1,addicted,6270,-20,18.75,1
15,6,15,4,1,27,33,3,2.65,0,focused,90,25,1.1785714285714286,0
130,12,8,3,0,14,61,1,6.3,0,distracted,1560,10,4.066666666666666,0
365,30,3,1,5,7,178,0,21.95,0,addicted,10950,-25,22.25,1
377,29,0,0,4,5,321,1,21.11,0,distracted,10933,-10,53.5,1
329,21,3,5,3,5,335,0,17.07,0,addicted,6909,-15,55.833333333333336,1
130,13,0,2,4,2,345,0,10.5,0,addicted,1690,-20,115.0,1
75,4,13,6,0,25,51,1,3.05,0,focused,300,10,1.9615384615384615,0
173,16,20,6,2,23,168,0,10.39,0,distracted,2768,-10,7.0,0
41,5,15,3,0,24,51,5,2.2299999999999995,0,focused,205,50,2.04,0
68,17,19,1,2,19,180,2,7.44,0,distracted,1156,10,9.0,0
154,15,23,6,5,6,226,0,12.62,0,addicted,2310,-25,32.285714285714285,1
151,17,7,4,3,23,134,2,10.93,0,focused,2567,5,5.583333333333333,0
106,5,6,6,3,13,109,1,7.18,0,addicted,530,-5,7.785714285714286,0
134,16,2,6,3,2,318,1,10.219999999999999,0,addicted,2144,-5,106.0,1
10,2,16,6,0,35,119,1,0.7,0,focused,20,10,3.3055555555555554,0
307,23,0,0,5,9,313,0,18.81,0,distracted,7061,-25,31.3,1
78,3,15,1,0,37,71,5,2.94,0,focused,234,50,1.868421052631579,0
68,4,11,4,0,47,60,3,2.84,0,distracted,272,30,1.25,0
97,16,18,1,0,6,116,1,6.109999999999999,0,distracted,1552,10,16.571428571428573,0
123,15,21,3,0,9,74,3,6.69,0,focused,1845,30,7.4,0
185,19,22,3,4,2,324,0,13.35,0,addicted,3515,-20,108.0,1
140,13,21,3,2,7,102,1,8.8,0,addicted,1820,0,12.75,0
53,1,13,5,0,41,32,3,1.7899999999999998,0,focused,53,30,0.7619047619047619,0
121,3,5,6,2,24,175,0,6.2299999999999995,1,addicted,363,-10,7.0,0
156,5,5,5,3,20,87,0,8.68,0,distracted,780,-15,4.142857142857143,0
31,4,12,0,1,54,69,5,2.7299999999999995,0,focused,124,45,1.2545454545454546,0
114,10,18,3,0,29,114,1,5.42,0,focused,1140,10,3.8,0
136,15,21,4,2,22,136,2,9.08,0,focused,2040,10,5.913043478260869,0
180,15,7,1,3,22,137,2,11.4,0,addicted,2700,5,5.956521739130435,0
254,27,1,6,5,4,240,1,18.02,0,addicted,6858,-15,48.0,1
86,10,20,2,3,17,126,0,7.58,0,focused,860,-15,7.0,0
236,26,0,4,5,9,343,0,17.28,0,addicted,6136,-25,34.3,1
47,6,14,6,0,30,23,2,2.6100000000000003,0,distracted,282,20,0.7419354838709677,0
344,33,0,5,4,2,341,0,20.919999999999998,0,addicted,11352,-20,113.66666666666667,1
154,10,4,5,5,9,322,0,11.62,0,addicted,1540,-25,32.2,1
25,2,15,4,0,38,32,3,1.15,0,focused,50,30,0.8205128205128205,0
102,3,18,5,1,23,129,3,4.659999999999999,0,addicted,306,25,5.375,0
164,15,3,3,2,6,245,0,9.919999999999998,0,distracted,2460,-10,35.0,1
129,34,2,0,5,2,337,1,15.669999999999998,0,addicted,4386,-15,112.33333333333333,1
24,4,16,1,0,59,18,5,1.52,1,distracted,96,50,0.3,0
25,7,16,0,0,24,14,4,2.15,1,distracted,175,40,0.56,0
